orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YDR211W,NA,0,0,0,1,0,1
YDR217C,RAD9,0,0,0,1,0,1
YDR229W,NA,0,0,0,1,0,1
YDR261C-D,TY1B-DR4;TY1B-DR3;TY1B-LR3,0,0,0,1,0,1
YDR292C,SRP101,0,0,0,1,0,1
YDR293C,SSD1,0,0,0,1,0,1
YDR310C,NA,0,0,0,1,0,1
YDR320C,SWA2,0,0,0,1,0,1
YDR338C,YDR338C,0,0,0,1,0,1
YDR348C,PAL1,0,0,0,1,0,1
YDR352W,YPQ2,0,0,0,1,0,1
YDR358W,NA,0,0,0,1,0,1
YDR359C,EAF1,0,0,1,0,0,1
YDR365C,ESF1,0,0,0,1,0,1
YDR384C,NA,0,0,0,1,0,1
YDR389W,SAC7,0,0,0,1,0,1
YDR397C,NA,0,0,0,1,0,1
YDR405W,MRP20,0,0,0,1,0,1
YDR407C,NA,0,0,0,0,1,1
YDR425W,NA,0,0,0,1,0,1
YDR428C,BNA7,0,0,0,1,0,1
YDR430C,CYM1,0,0,0,1,0,1
YDR436W,NA,0,0,0,0,1,1
YDR439W,LRS4,0,0,0,1,0,1
YDR458C,HEH2,0,0,0,1,0,1
YDR460W,TFB3,0,0,0,1,0,1
YDR475C,NA,0,0,0,1,0,1
YDR477W,SNF1,0,0,0,1,0,1
YDR485C,VPS72,0,0,0,1,0,1
YDR496C,NA,0,0,0,0,1,1
YDR508C,GNP1,0,0,1,0,0,1
YDR517W,GRH1,0,0,0,1,0,1
YEL015W,NA,0,0,0,1,0,1
YEL017W,GTT3,0,0,0,1,0,1
YEL032W,NA,0,0,0,0,1,1
YEL037C,NA,0,0,0,1,0,1
YEL058W,NA,0,0,0,0,1,1
YEL062W,NPR2,0,0,0,1,0,1
YER016W,NA,0,0,0,1,0,1
YER022W,NA,0,0,0,0,1,1
YER031C,YPT31,0,0,0,1,0,1
YER032W,FIR1,0,0,0,1,0,1
YER040W,GLN3,0,0,0,1,0,1
YER052C,NA,0,0,0,1,0,1
YER054C,GIP2,0,0,0,1,0,1
YER059W,NA,0,0,0,1,0,1
YER063W,NA,0,0,0,1,0,1
YER091C,MET6,0,0,0,1,0,1
YER093C,TSC11,0,0,0,1,0,1
YER111C,NA,0,0,0,1,0,1
YER122C,GLO3,0,0,0,1,0,1
YER132C,PMD1,0,0,0,1,0,1
YER143W,DDI1,0,0,0,1,0,1
YER151C,NA,0,0,0,1,0,1
YER155C,NA,0,0,0,1,0,1
YER167W,NA,0,0,0,0,1,1
YER176W,NA,0,0,0,1,0,1
YFL004W,VTC2,0,0,0,1,0,1
YFL014W,NA,0,0,0,1,0,1
YFL021W,GAT1,0,0,0,1,0,1
YFL034W,YFL034W,0,0,0,1,0,1
YFL042C,NA,0,0,0,1,0,1
YFR015C,GSY1,0,0,1,0,0,1
YFR016C,YFR016C,0,0,0,1,0,1
YFR019W,FAB1,0,0,0,1,0,1
YFR024C-A,NA,0,0,0,0,1,1
YFR028C,NA,0,0,0,1,0,1
YFR034C,NA,0,0,0,0,1,1
YFR040W,NA,0,0,0,1,0,1
YFR053C,NA,0,0,0,1,0,1
YGL008C,NA,0,0,0,0,1,1
YGL013C,PDR1,0,0,0,1,0,1
YGL014W,NA,0,0,0,1,0,1
YGL066W,SGF73,0,0,0,1,0,1
YGL077C,NA,0,0,0,0,1,1
YGL083W,SCY1,0,0,0,1,0,1
YGL092W,NA,0,0,0,0,1,1
YGL093W,SPC105,0,0,0,1,0,1
YGL099W,LSG1,0,0,1,0,0,1
YGL104C,VPS73,0,0,0,1,0,1
YGL110C,NA,0,0,0,1,0,1
YGL139W,NA,0,0,0,1,0,1
YGL181W,GTS1,0,0,0,1,0,1
YGL197W,MDS3,0,0,0,1,0,1
YGL208W,NA,0,0,0,1,0,1
YGL227W,NA,0,0,0,1,0,1
YGL244W,RTF1,0,1,0,0,0,1
YGL253W,NA,0,0,0,0,1,1
YGR004W,PEX31,0,0,0,1,0,1
YGR008C,NA,0,0,0,1,0,1
YGR009C,SEC9,0,0,0,1,0,1
YGR048W,NA,0,0,0,0,1,1
YGR058W,PEF1,0,0,0,1,0,1
YGR080W,TWF1,0,0,0,1,0,1
YGR086C,PIL1,0,0,0,1,0,1
YGR090W,NA,0,0,0,1,0,1
YGR097W,ASK10,0,0,0,1,0,1
YGR100W,MDR1,0,0,0,1,0,1
YGR116W,NA,0,0,0,1,0,1
YGR125W,NA,0,0,0,0,1,1
YGR130C,NA,0,0,0,1,0,1
YGR140W,NA,0,0,0,1,0,1
YGR143W,SKN1,0,0,0,1,0,1
