Gene names,ORF,genotype,nutrient,samplingTime,replicate,intensity,normalized_intensity
ABF1,ABF1,spike-in,P,T30,R1,72336001,45883991.12
ABF1,ABF1,rim15KO,P,T30,R1,48454001,71301866.67
ABF1,ABF1,WT,P,T30,R1,28445001,57009670.55
ABF1,ABF1,spike-in,P,T30,R3,85542001,62170804.74
ABF1,ABF1,rim15KO,P,T30,R3,45741001,107300800.1
ABF1,ABF1,WT,P,T30,R3,36679001,71037867.38
ABF1,ABF1,spike-in,P,T00,R1,86254001,34528424.82
ABF1,ABF1,rim15KO,P,T00,R1,83213001,37918154.02
ABF1,ABF1,WT,P,T00,R1,103350001,37076541.45
ABF1,ABF1,spike-in,P,T00,R3,76578001,20081667.4
ABF1,ABF1,rim15KO,P,T00,R3,63398001,19384596.89
ABF1,ABF1,WT,P,T00,R3,137660001,30621711.77
ABF2,ABF2,spike-in,C,T00,R1,481390001,192705709.5
ABF2,ABF2,rim15KO,C,T00,R1,427690001,194887999.9
ABF2,ABF2,WT,C,T00,R1,544620001,195380995.1
ABF2,ABF2,spike-in,C,T00,R3,1032400001,270734586.7
ABF2,ABF2,rim15KO,C,T00,R3,863030001,263880381.2
ABF2,ABF2,WT,C,T00,R3,1174600001,261283324.3
ABF2,ABF2,spike-in,C,T06,R1,361620001,329097540.4
ABF2,ABF2,rim15KO,C,T06,R1,377030001,416544736.1
ABF2,ABF2,WT,C,T06,R1,318160001,431104783.2
ABF2,ABF2,spike-in,C,T06,R3,489060001,304152195.6
ABF2,ABF2,rim15KO,C,T06,R3,542740001,481309809.7
ABF2,ABF2,WT,C,T06,R3,477700001,395110294.9
ABF2,ABF2,spike-in,C,T16,R1,401740001,340361104.5
ABF2,ABF2,rim15KO,C,T16,R1,315810001,505814603.1
ABF2,ABF2,WT,C,T16,R1,249780001,537253262
ABF2,ABF2,spike-in,C,T16,R3,510640001,326067708
ABF2,ABF2,rim15KO,C,T16,R3,394200001,513716908.7
ABF2,ABF2,WT,C,T16,R3,416350001,546557838
ABF2,ABF2,spike-in,C,T30,R1,362130001,329680548.3
ABF2,ABF2,rim15KO,C,T30,R1,348130001,606499938.7
ABF2,ABF2,WT,C,T30,R1,173270001,443021016
ABF2,ABF2,spike-in,C,T30,R3,408420001,342121422.9
ABF2,ABF2,rim15KO,C,T30,R3,248570001,496855633
ABF2,ABF2,WT,C,T30,R3,315780001,545224216.6
ABF2,ABF2,spike-in,P,T06,R1,421740001,340845816.6
ABF2,ABF2,rim15KO,P,T06,R1,516110001,434804687.8
ABF2,ABF2,WT,P,T06,R1,456200001,461706409.9
ABF2,ABF2,spike-in,P,T06,R3,367220001,353668047.1
ABF2,ABF2,rim15KO,P,T06,R3,438230001,486711196.5
ABF2,ABF2,WT,P,T06,R3,605120001,617383601.8
ABF2,ABF2,spike-in,P,T16,R1,474640001,331563552.3
ABF2,ABF2,rim15KO,P,T16,R1,351270001,467020098.4
ABF2,ABF2,WT,P,T16,R1,296870001,474158975.4
ABF2,ABF2,spike-in,P,T16,R3,650190001,379836940.2
ABF2,ABF2,rim15KO,P,T16,R3,457110001,613839223.4
ABF2,ABF2,WT,P,T16,R3,514040001,600534777.1
ABF2,ABF2,spike-in,P,T30,R1,680310001,431532537.3
ABF2,ABF2,rim15KO,P,T30,R1,436940001,642973481.1
ABF2,ABF2,WT,P,T30,R1,515050001,1032266825
ABF2,ABF2,spike-in,P,T30,R3,672080001,488458932.7
ABF2,ABF2,rim15KO,P,T30,R3,404870001,949757855.8
ABF2,ABF2,WT,P,T30,R3,423400001,820017784
ABF2,ABF2,spike-in,P,T00,R1,481390001,192705709.5
ABF2,ABF2,rim15KO,P,T00,R1,427690001,194887999.9
ABF2,ABF2,WT,P,T00,R1,544620001,195380995.1
ABF2,ABF2,spike-in,P,T00,R3,1032400001,270734586.7
ABF2,ABF2,rim15KO,P,T00,R3,863030001,263880381.2
ABF2,ABF2,WT,P,T00,R3,1174600001,261283324.3
ABP1,ABP1,spike-in,C,T00,R1,1955400001,782768116.7
ABP1,ABP1,rim15KO,C,T00,R1,1694200001,772006006.3
ABP1,ABP1,WT,C,T00,R1,2108200001,756311214
ABP1,ABP1,spike-in,C,T00,R3,3082200001,808270188.4
ABP1,ABP1,rim15KO,C,T00,R3,2743400001,838823027.4
ABP1,ABP1,WT,C,T00,R3,3773000001,839283144.8
ABP1,ABP1,spike-in,C,T06,R1,1014400001,923169471.9
ABP1,ABP1,rim15KO,C,T06,R1,784360001,866565071.1
ABP1,ABP1,WT,C,T06,R1,768940001,1041908824
ABP1,ABP1,spike-in,C,T06,R3,1284300001,798721351.9
ABP1,ABP1,rim15KO,C,T06,R3,842590001,747221196.8
ABP1,ABP1,WT,C,T06,R3,1156100001,956221501.6
ABP1,ABP1,spike-in,C,T16,R1,1161500001,984042968.7
ABP1,ABP1,rim15KO,C,T16,R1,479160001,767442845.3
ABP1,ABP1,WT,C,T16,R1,437420001,940849233.1
ABP1,ABP1,spike-in,C,T16,R3,1428300001,912036868.9
ABP1,ABP1,rim15KO,C,T16,R3,639610001,833532398.9
ABP1,ABP1,WT,C,T16,R3,803630001,1054954425
ABP1,ABP1,spike-in,C,T30,R1,1173600001,1068437000
ABP1,ABP1,rim15KO,C,T30,R1,539930001,940647205.2
ABP1,ABP1,WT,C,T30,R1,419350001,1072204435
ABP1,ABP1,spike-in,C,T30,R3,919300001,770070573.5
ABP1,ABP1,rim15KO,C,T30,R3,438910001,877317880.2
ABP1,ABP1,WT,C,T30,R3,558820001,964855900.6
ABP1,ABP1,spike-in,P,T06,R1,1069000001,863954515.7
ABP1,ABP1,rim15KO,P,T06,R1,1175700001,990486274
ABP1,ABP1,WT,P,T06,R1,1065400001,1078259554
ABP1,ABP1,spike-in,P,T06,R3,959790001,924369735.6
ABP1,ABP1,rim15KO,P,T06,R3,1053000001,1169492936
ABP1,ABP1,WT,P,T06,R3,1071200001,1092909363
ABP1,ABP1,spike-in,P,T16,R1,1404700001,981264371.4
ABP1,ABP1,rim15KO,P,T16,R1,1073100001,1426706712
ABP1,ABP1,WT,P,T16,R1,921210001,1471351059
ABP1,ABP1,spike-in,P,T16,R3,1512700001,883709898.6
ABP1,ABP1,rim15KO,P,T16,R3,1073700001,1441839324
ABP1,ABP1,WT,P,T16,R3,1153600001,1347710136
ABP1,ABP1,spike-in,P,T30,R1,1347700001,854869691.8
ABP1,ABP1,rim15KO,P,T30,R1,928270001,1365983871
ABP1,ABP1,WT,P,T30,R1,839300001,1682130950
ABP1,ABP1,spike-in,P,T30,R3,1147800001,834205991.3
ABP1,ABP1,rim15KO,P,T30,R3,655830001,1538468382
ABP1,ABP1,WT,P,T30,R3,730930001,1415624937
ABP1,ABP1,spike-in,P,T00,R1,1955400001,782768116.7
ABP1,ABP1,rim15KO,P,T00,R1,1694200001,772006006.3
ABP1,ABP1,WT,P,T00,R1,2108200001,756311214
ABP1,ABP1,spike-in,P,T00,R3,3082200001,808270188.4
ABP1,ABP1,rim15KO,P,T00,R3,2743400001,838823027.4
