nutrient,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
P,ERG20,P08524,normed_intensity,(Intercept),30.8606792723157,0.10181808837795456,303.0962352952365,4.2051873059880346e-38,3.509046491835074e-36
P,ERG20,P08524,normed_intensity,samplingTime,-0.027340752326802813,0.005898163495581254,-4.635468709418749,1.5962891361605695e-4,5.438470751977898e-4
P,ERG20,P08524,normed_intensity,genotypeWT,0.016077737631550702,0.14399252147900576,0.11165675457593019,0.9122085725062862,0.6715746887669255
P,ERG20,P08524,normed_intensity,samplingTime:genotypeWT,0.011042288097653574,0.008341262808544914,1.3238149128141232,0.20049723034719047,0.29527130806389723
P,ERG20,P08524,normed_ratio,(Intercept),-0.16188724827017636,0.08244310129935276,-1.9636239505639184,0.06362833769395063,0.11555060905781347
P,ERG20,P08524,normed_ratio,samplingTime,-0.023318256881015197,0.004775800629268487,-4.882585914099783,9.00714679662015e-5,3.191489892581011e-4
P,ERG20,P08524,normed_ratio,genotypeWT,0.0965652207783069,0.11659215198164362,0.8282308812132588,0.41731417660307357,0.4942971836114392
P,ERG20,P08524,normed_ratio,samplingTime:genotypeWT,0.0029891358417636718,0.0067540020211014585,0.4425725417944421,0.6628243020672666,0.6207310317862534
P,ERG20,P08524,ratio,(Intercept),-0.16498413519757363,0.1419838564041815,-1.1619922107758354,0.2589182604528196,0.3573738176406024
P,ERG20,P08524,ratio,samplingTime,-0.04955543730263751,0.008224903964964989,-6.025047528059309,6.856492481540667e-6,2.7618716938831343e-5
P,ERG20,P08524,ratio,genotypeWT,0.06523062283419584,0.20079549536482755,0.32486098712362843,0.7486598656079333,0.644595358945596
P,ERG20,P08524,ratio,samplingTime:genotypeWT,-3.4736537016503917e-4,0.011631770736469734,-0.029863498691211764,0.9764719168085558,0.6753732148392035
P,ERG26,P53199,intensity,(Intercept),29.28620679002077,0.31284922758342454,93.61124851174931,6.611305034596401e-28,5.0717049691045484e-27
P,ERG26,P53199,intensity,samplingTime,-0.09165154498945295,0.018122869159591028,-5.057231511322196,6.0266409219289275e-5,2.185483534839023e-4
P,ERG26,P53199,intensity,genotypeWT,-0.24406949380503698,0.442435620626426,-0.5516497371063145,0.587299799850001,0.5917355340465932
P,ERG26,P53199,intensity,samplingTime:genotypeWT,-0.016128271782511902,0.025629607354606735,-0.6292828274488943,0.5362865077308921,0.5682509457420132
P,ERG26,P53199,normed_intensity,(Intercept),28.762446985757403,0.17170247255186477,167.51329528507148,5.92051258810677e-33,1.2611885014421438e-31
P,ERG26,P53199,normed_intensity,samplingTime,-0.041445447880589265,0.009946457175144972,-4.16685530845662,4.7623161361150213e-4,0.0014815033985404436
P,ERG26,P53199,normed_intensity,genotypeWT,-0.25103647320373634,0.2428239653758413,-1.0338208290733732,0.3135597181264945,0.41123503702014363
P,ERG26,P53199,normed_intensity,samplingTime:genotypeWT,-0.009437386241983701,0.014066414634653206,-0.6709162559970543,0.509948588033444,0.5540013761058832
P,ERG26,P53199,normed_ratio,(Intercept),0.022265821573689178,0.08321390705066413,0.2675733223309994,0.7917677288007942,0.6537817480155681
P,ERG26,P53199,normed_ratio,samplingTime,-0.02975888681921979,0.0048204522075587074,-6.173463720386312,4.959266011244127e-6,2.0215169724273426e-5
P,ERG26,P53199,normed_ratio,genotypeWT,-0.0948645789136571,0.11768223592910335,-0.8061078901560593,0.4296619326066887,0.5033965800524298
P,ERG26,P53199,normed_ratio,samplingTime:genotypeWT,-0.012139200863255518,0.006817148888700852,-1.7806858939777233,0.09016025132375946,0.15467593696611456
P,ERG26,P53199,ratio,(Intercept),-0.0185404785468328,0.15248988024369675,-0.12158497676831365,0.904441034704569,0.6713004266763067
