Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T30,0.010161456374580331,0.09713156471644682,0.4237167549008326
O60200,Mitochondrial distribution and morphology protein 35,MDM35,sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3,C,T00,0.34862010126008397,0.5296927745986549,-0.0991416666666668
O60200,Mitochondrial distribution and morphology protein 35,MDM35,sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3,P,T00,0.037358568869890904,0.17621735434982544,-0.1738214182729979
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T00,0.8090466045202958,0.8830922219918504,-0.021923333333333295
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T06,0.014159301828696126,0.11034418300343028,-0.38375000000000004
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T16,0.0013707696639170528,0.048414238988775914,-0.8533550000000001
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T30,0.003542177888154821,0.06624750863564521,-0.7320533333333333
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T00,0.03236783519679173,0.1636010774608692,-0.13423800343132974
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T06,0.6535090556682909,0.7738074112468841,0.025956112510495344
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T16,0.8134221346040124,0.8856481177002475,-0.012731979707993113
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T30,0.9033238848306255,0.9426201930342416,0.009859368026573612
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T00,0.0881781910468451,0.26878094964440125,-0.1808966666666667
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T06,0.2593345752290318,0.4432865646061568,0.11966166666666667
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T30,0.8078230344586861,0.882473853772041,0.059700000000000086
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T00,0.23026046041580708,0.41594272689482314,-0.1377833445308152
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T06,0.11988747449716583,0.30688847962658233,0.2904183791389694
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T16,0.17857596268914067,0.3632327515698026,0.3308360278639263
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T00,0.8385253802473153,0.9004972585964693,0.018356666666666688
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T06,0.00223932219645809,0.05792467090932285,-2.1755183333333337
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T16,3.791333272962291e-4,0.03519274588276696,-5.147966666666667
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T00,0.4339980419560615,0.6023596940162438,0.0944520975463794
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T06,0.0375849569603132,0.17699517155053016,-0.3745260359859024
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T16,0.022902110596714566,0.13689642199830407,-0.38798689739637804
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T30,0.005336468957911417,0.07545821521368358,-0.3957990185378981
