Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_N_T00_R1,rim15KO_N_T00_R2,rim15KO_N_T00_R3,rim15KO_N_T06_R1,rim15KO_N_T06_R2,rim15KO_N_T06_R3,rim15KO_N_T16_R1,rim15KO_N_T16_R2,rim15KO_N_T16_R3,rim15KO_N_T30_R1,rim15KO_N_T30_R2,rim15KO_N_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_N_T00_R1,WT_N_T00_R2,WT_N_T00_R3,WT_N_T06_R1,WT_N_T06_R2,WT_N_T06_R3,WT_N_T16_R1,WT_N_T16_R2,WT_N_T16_R3,WT_N_T30_R1,WT_N_T30_R2,WT_N_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3
P33317,Deoxyuridine 5-triphosphate nucleotidohydrolase,DUT1,sp|P33317|DUT_YEAST Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUT1 PE=1 SV=2,1.0279,1.0067,0.99341,NA,NA,1.3251,1.3715,1.1968,1.4515,NA,0.93002,1.3493,1.0279,1.0067,0.99341,1.9413,1.5052,1.4414,NA,NA,1.8025,0.56982,NA,NA,1.0279,1.0147,0.99341,1.1243,NA,1.0986,1.0801,1.2024,NA,NA,NA,1.0535,0.98108,1.0147,0.86127,NA,NA,0.97594,0.85283,0.97264,0.83663,NA,0.84307,0.64095,0.98108,1.0147,0.86127,1.0283,1.0614,0.89885,NA,NA,1.0816,0.39848,NA,NA,0.98108,1.0067,0.86127,1.0153,NA,0.94075,1.0405,0.98082,NA,NA,NA,0.87728
P33315,Transketolase 2,TKL2,sp|P33315|TKT2_YEAST Transketolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL2 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40492,0.19213,0.26088,0.62939,0.87963,0.49364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6565,2.9921,2.685,3.0262,8.7113,2.7277
P33314,Inhibitory regulator protein BUD2/CLA2,BUD2,sp|P33314|BUD2_YEAST Inhibitory regulator protein BUD2/CLA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUD2 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33313,Hsp70/Hsp90 co-chaperone CNS1,CNS1,sp|P33313|CNS1_YEAST Hsp70/Hsp90 co-chaperone CNS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CNS1 PE=1 SV=1,1.0395,1.0422,1.1046,1.0907,NA,NA,NA,NA,NA,NA,NA,NA,1.0395,1.0422,1.1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0395,1.1899,1.1046,NA,NA,NA,NA,0.53912,NA,NA,NA,NA,1.015,1.1899,0.6806,1.0544,NA,NA,NA,NA,NA,NA,NA,NA,1.015,1.1899,0.6806,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.015,1.0422,0.6806,NA,NA,NA,NA,0.40044,NA,NA,NA,NA
P33311,"ATP-dependent permease MDL2, mitochondrial",MDL2,"sp|P33311|MDL2_YEAST ATP-dependent permease MDL2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDL2 PE=1 SV=3",0.98961,1.0686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98961,1.0686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98961,1.0992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.065,1.0992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.065,1.0992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.065,1.0686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33310,"ATP-dependent permease MDL1, mitochondrial",MDL1,"sp|P33310|MDL1_YEAST ATP-dependent permease MDL1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDL1 PE=1 SV=2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33309,Protein DOM34,DOM34,sp|P33309|DOM34_YEAST Protein DOM34 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DOM34 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33307,Importin alpha re-exporter,CSE1,sp|P33307|CSE1_YEAST Importin alpha re-exporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CSE1 PE=1 SV=2,1.1793,1.0443,1.069,1.176,0.90993,0.88635,1.4,NA,1.1654,1.5003,1.3319,1.2087,1.1793,1.0443,1.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1793,0.90977,1.069,0.80195,NA,0.80893,NA,0.96507,0.77822,NA,NA,NA,1.0033,0.90977,1.1129,0.96432,1.0082,1.1218,1.2518,NA,0.98458,1.1294,1.1487,0.98625,1.0033,0.90977,1.1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0033,1.0443,1.1129,0.77788,NA,1.0716,NA,1.044,0.80321,NA,NA,NA
P33303,Succinate/fumarate mitochondrial transporter,SFC1,sp|P33303|SFC1_YEAST Succinate/fumarate mitochondrial transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SFC1 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33302,Pleiotropic ABC efflux transporter of multiple drugs,PDR5,sp|P33302|PDR5_YEAST Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR5 PE=1 SV=1,0.80689,0.97638,0.60093,0.29625,0.23023,0.20625,NA,NA,NA,NA,NA,NA,0.80689,0.97638,0.60093,2.0251,1.0355,1.5688,NA,NA,NA,NA,NA,NA,0.80689,1.1948,0.60093,1.0217,0.85748,0.58202,0.29715,0.44845,0.16272,NA,NA,NA,0.97361,1.1948,0.3633,0.18632,0.23768,0.10655,NA,NA,NA,NA,NA,NA,0.97361,1.1948,0.3633,0.3422,0.42988,0.17841,NA,NA,NA,NA,NA,NA,0.97361,0.97638,0.3633,0.4455,0.45116,0.23477,0.12647,0.10739,0.0645,NA,NA,NA
P33301,DNA repair protein XRS2,XRS2,sp|P33301|XRS2_YEAST DNA repair protein XRS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=XRS2 PE=1 SV=1,NA,NA,1.1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92146,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33300,Mannosyl phosphorylinositol ceramide synthase SUR1,SUR1,sp|P33300|SUR1_YEAST Mannosyl phosphorylinositol ceramide synthase SUR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUR1 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33299,26S protease regulatory subunit 7 homolog,RPT1,sp|P33299|PRS7_YEAST 26S proteasome regulatory subunit 7 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT1 PE=1 SV=1,1.0137,1.0129,0.96639,1.078,0.9518,1.0699,0.94279,0.89983,1.2752,0.92357,0.89083,0.80012,1.0137,1.0129,0.96639,0.90339,1.1254,0.92975,0.71421,0.82166,0.82919,0.52603,1.4245,0.76252,1.0137,1.0122,0.96639,0.97482,0.98522,1.006,0.80693,0.85902,0.78132,0.81805,0.75619,0.80152,1.0103,1.0122,0.99051,1.0892,1.0518,0.95005,0.88199,0.9813,0.97805,0.97354,0.95531,0.94641,1.0103,1.0122,0.99051,0.99368,0.97864,0.89838,0.73942,5.1852,0.77849,4.6111,0.65837,0.74791,1.0103,1.0129,0.99051,0.97099,1.0597,0.98227,0.90298,0.84555,0.85799,0.89004,0.83858,0.86229
P33298,26S protease regulatory subunit 6B homolog,RPT3,sp|P33298|PRS6B_YEAST 26S proteasome regulatory subunit 6B homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT3 PE=1 SV=2,1.035,0.99593,0.96122,1.2138,1.29,0.9805,0.9137,1.0634,1.372,1.1077,1.1251,1.3675,1.035,0.99593,0.96122,0.72824,0.74897,0.80252,NA,NA,NA,NA,0.73573,0.8472,1.035,1.0821,0.96122,1.0211,1.0853,0.92842,0.85981,1.0087,0.93094,0.80891,0.86553,0.91303,1.0401,1.0821,1.0089,1.1843,1.1129,1.0487,1.0519,1.1682,1.0643,0.97623,1.1396,1.0669,1.0401,1.0821,1.0089,1.169,0.96624,0.89714,NA,NA,NA,NA,1.1613,0.98648,1.0401,0.99593,1.0089,1.1988,1.0737,0.98785,0.93753,0.91648,0.95883,0.92334,0.8881,0.91328
P33297,26S protease regulatory subunit 6A,RPT5,sp|P33297|PRS6A_YEAST 26S proteasome regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT5 PE=1 SV=3,1.0016,1.044,1.025,1.0334,1.0716,1.1972,1.0066,0.98423,0.94883,1.0239,1.0201,0.99531,1.0016,1.044,1.025,1.0056,1.0372,0.99695,NA,NA,0.63416,NA,0.94174,NA,1.0016,1.1402,1.025,1.0548,1.055,1.0199,0.93948,0.96925,0.86468,0.84748,0.85683,0.88711,1.054,1.1402,0.96739,1.032,1.0603,0.98675,0.98868,1.0576,1.0299,0.97397,1.0662,1.1152,1.054,1.1402,0.96739,0.99116,1.0891,0.83132,NA,NA,0.78799,NA,0.78585,NA,1.054,1.044,0.96739,1.093,1.0409,1.0426,0.99551,0.90276,0.88712,0.9412,0.78827,0.88063
P33296,Ubiquitin-conjugating enzyme E2 6,UBC6,sp|P33296|UBC6_YEAST Ubiquitin-conjugating enzyme E2 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC6 PE=1 SV=1,NA,NA,1.6552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91102,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33204,Actin-related protein 2/3 complex subunit 4,ARC19,sp|P33204|ARPC4_YEAST Actin-related protein 2/3 complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARC19 PE=1 SV=2,0.88881,0.92503,0.91799,1.2036,1.2575,1.3777,1.3113,1.6894,1.3109,1.4078,1.6721,1.7636,0.88881,0.92503,0.91799,0.97244,1.0607,0.95908,1.4653,1.1856,1.4929,1.2737,1.4882,1.8676,0.88881,0.89927,0.91799,1.192,1.0619,1.0983,0.97691,0.94548,1.0636,1.0568,0.97225,1.0004,0.98791,0.89927,1.0163,1.1744,1.1598,1.3564,1.3068,1.2395,1.2872,1.2654,1.2455,1.5338,0.98791,0.89927,1.0163,1.2971,1.2158,1.1469,1.179,0.65243,1.6189,0.72644,0.5648,1.5336,0.98791,0.92503,1.0163,1.152,1.0874,1.1131,0.93577,1.1137,1.0675,0.95249,1.2665,1.1881
P33203,Pre-mRNA-processing protein PRP40,PRP40,sp|P33203|PRP40_YEAST Pre-mRNA-processing protein PRP40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP40 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1303,NA,NA,NA,NA,NA,NA,NA
P33202,Ubiquitin fusion degradation protein 4,UFD4,sp|P33202|UFD4_YEAST Ubiquitin fusion degradation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UFD4 PE=1 SV=1,0.8416,1.0393,0.9303,NA,1.0861,0.8733,0.75739,NA,NA,NA,NA,NA,0.8416,1.0393,0.9303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8416,0.8456,0.9303,0.98776,NA,0.75888,NA,0.77029,0.65032,NA,0.90355,0.67287,0.95897,0.8456,1.0529,NA,0.50764,0.97854,0.60166,NA,NA,NA,NA,NA,0.95897,0.8456,1.0529,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95897,1.0393,1.0529,0.8396,NA,0.79489,NA,0.91806,0.78625,NA,0.90823,0.7302
P33201,Ribosome assembly factor MRT4,MRT4,sp|P33201|MRT4_YEAST Ribosome assembly factor MRT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRT4 PE=1 SV=1,1.2235,1.1382,1.1406,1.0861,1.0115,1.0928,1.1772,1.0412,1.1924,1.3409,1.1215,1.0076,1.2235,1.1382,1.1406,0.93007,1.066,1.2717,0.56485,0.72802,NA,NA,NA,NA,1.2235,1.1257,1.1406,0.86217,0.76689,0.89188,0.75733,0.9165,0.72421,0.66794,0.79801,0.76281,1.0665,1.1257,1.1301,1.2706,1.1328,1.1098,1.1993,1.2622,0.97228,1.2584,1.1901,1.0347,1.0665,1.1257,1.1301,1.149,1.2503,1.1356,0.87843,0.99963,NA,NA,NA,NA,1.0665,1.1382,1.1301,0.91556,0.7198,0.80497,0.78682,0.75065,0.79299,0.7516,0.69455,0.79526
P33122,Serine-rich protein TYE7,TYE7,sp|P33122|TYE7_YEAST Serine-rich protein TYE7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TYE7 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32944,Mitosis inhibitor protein kinase SWE1,SWE1,sp|P32944|SWE1_YEAST Mitosis inhibitor protein kinase SWE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWE1 PE=1 SV=1,NA,1.1884,1.3498000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1884,1.3498000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2928,1.3498000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2928,0.97312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2928,0.97312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1884,0.97312,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32939,GTP-binding protein YPT7,YPT7,sp|P32939|YPT7_YEAST GTP-binding protein YPT7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT7 PE=1 SV=1,0.91706,0.94177,0.94784,1.5169,1.3552,1.4435,1.6158,1.3818,1.8082,1.6704,1.6071,1.1837,0.91706,0.94177,0.94784,1.7297,2.0157,2.3833,NA,2.8721,2.3538,3.2052,1.9734,NA,0.91706,0.91633,0.94784,1.3864,1.3147,1.3557,1.1809,1.1554,1.1791,1.074,1.1337,0.96131,0.98207,0.91633,0.96126,1.1469,1.1503,1.0025,1.0539,1.0738,1.0173,0.9772,0.9475,0.93988,0.98207,0.91633,0.96126,0.99001,0.73136,1.0457,NA,0.70298,0.59833,0.56714,0.63561,NA,0.98207,0.94177,0.96126,1.2687,1.337,1.2895,0.90282,1.2453,1.0623,0.81414,1.0629,0.90337
P32916,Signal recognition particle receptor subunit alpha homolog,SRP101,sp|P32916|SRPR_YEAST Signal recognition particle receptor subunit alpha homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRP101 PE=1 SV=2,0.97045,0.90033,0.98212,1.177,0.91933,1.3501,1.3908,NA,1.2705,0.9477,0.93815,1.1494,0.97045,0.90033,0.98212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97045,1.07,0.98212,0.96935,1.3611,0.75811,0.82594,0.96027,NA,NA,0.85207,0.67461,0.99284,1.07,1.0914,1.2151,1.2166,1.2777,1.0532,NA,1.1954,1.044,1.1797,1.1411,0.99284,1.07,1.0914,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99284,0.90033,1.0914,0.97585,1.009,0.93915,0.78037,0.79686,NA,NA,0.98015,0.67467
P32915,Protein transport protein SEC61,SEC61,sp|P32915|SC61A_YEAST Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC61 PE=1 SV=1,NA,NA,0.84088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84088,NA,NA,NA,NA,NA,NA,2.7963,NA,NA,NA,NA,0.84088,0.88562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0163,NA,NA,NA,NA,NA,NA,1.6731,NA,NA,NA,NA,1.0163,0.65019,NA,NA,NA,NA,NA,NA,NA,NA
P32914,Transcription elongation factor SPT4,SPT4,sp|P32914|SPT4_YEAST Transcription elongation factor SPT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPT4 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32913,Vacuolar protein sorting-associated protein 17,VPS17,sp|P32913|VPS17_YEAST Vacuolar protein sorting-associated protein 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS17 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4755,NA,NA,NA,NA,NA
P32911,Eukaryotic translation initiation factor eIF-1,SUI1,sp|P32911|SUI1_YEAST Eukaryotic translation initiation factor eIF-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUI1 PE=1 SV=1,1.0209,0.95514,1.0332,0.99269,0.99043,0.95458,0.90655,0.90964,0.87258,0.81822,0.92389,0.84171,1.0209,0.95514,1.0332,NA,NA,NA,NA,NA,NA,NA,NA,1.5248,1.0209,1.091,1.0332,1.0178,1.1421,1.0367,1.0133,1.1068,1.023,0.93881,0.99,0.97864,1.0147,1.091,0.89036,1.0173,1.0983,0.96323,1.0274,1.0337,0.90086,1.0826,1.0244,0.89869,1.0147,1.091,0.89036,NA,NA,NA,NA,NA,NA,NA,NA,1.5118,1.0147,0.95514,0.89036,1.1161,1.0638,1.0706,1.1,0.90137,0.94474,1.0289,1.0986,0.83245
P32910,DNA-directed RNA polymerase III subunit RPC6,RPC34,sp|P32910|RPC6_YEAST DNA-directed RNA polymerase III subunit RPC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC34 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32909,Protein SMY2,SMY2,sp|P32909|SMY2_YEAST Protein SMY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMY2 PE=1 SV=2,1.0058,0.96977,0.95977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0058,0.96977,0.95977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0058,1.1123,0.95977,0.53281,NA,NA,NA,NA,NA,NA,NA,NA,1.0471,1.1123,0.96302,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0471,1.1123,0.96302,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0471,0.96977,0.96302,0.62979,NA,NA,NA,NA,NA,NA,NA,NA
P32908,Structural maintenance of chromosomes protein 1,SMC1,sp|P32908|SMC1_YEAST Structural maintenance of chromosomes protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMC1 PE=1 SV=1,1.1032,1.0318,1.085,1.4381,0.9989,2.1532,1.9181,NA,3.0322,NA,NA,2.449,1.1032,1.0318,1.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1032,1.0842,1.085,1.4162,NA,2.0961,NA,NA,NA,NA,NA,NA,0.85128,1.0842,1.0201,1.1702,1.0617,1.0883,0.96817,NA,0.97638,NA,NA,1.007,0.85128,1.0842,1.0201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85128,1.0318,1.0201,1.3178,NA,1.2441,NA,NA,NA,NA,NA,NA
P32907,Ammonia transport outward protein 2,ATO2,sp|P32907|ATO2_YEAST Ammonia transport outward protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATO2 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P32906,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",MNS1,"sp|P32906|MNS1_YEAST Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNS1 PE=1 SV=1",1.078,0.98707,1.0685,NA,NA,NA,NA,NA,NA,NA,1.0273,NA,1.078,0.98707,1.0685,NA,NA,0.74945,NA,NA,NA,NA,NA,NA,1.078,0.75457,1.0685,1.0845,0.91929,NA,0.84307,NA,0.96622,NA,0.71069,0.96574,0.83929,0.75457,0.98532,NA,NA,NA,NA,NA,NA,NA,0.84121,NA,0.83929,0.75457,0.98532,NA,NA,1.1853,NA,NA,NA,NA,NA,NA,0.83929,0.98707,0.98532,1.0597,0.99548,NA,0.6996,NA,0.67626,NA,0.78406,0.87508
P32904,"54S ribosomal protein L6, mitochondrial",MRPL6,"sp|P32904|RM06_YEAST 54S ribosomal protein L6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL6 PE=1 SV=2",NA,NA,0.87223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87871,NA,NA,NA,NA,NA,NA,NA,NA,NA
