genotype,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
WT,STH1,P32597,intensity,nutrientP,0.08715187715834923,0.6810185531674683,0.1279728382626278,0.8994485152451164,0.5522574600050789
WT,STH1,P32597,intensity,samplingTime:nutrientP,0.03493329279299525,0.039450345553488336,0.8855002992465887,0.3864098256143619,0.34480934583362494
WT,STH1,P32597,normed_intensity,(Intercept),25.0691483007918,0.3239501258230952,77.38582671359025,2.946104856681608e-26,1.5441653041917396e-25
WT,STH1,P32597,normed_intensity,samplingTime,-0.02589698377285818,0.018765926928681537,-1.3800002457260798,0.18281942880551136,0.2018770525153906
WT,STH1,P32597,normed_intensity,nutrientP,0.11475192737642459,0.45813466147149173,0.250476414528101,0.8047740352979553,0.5264059253141599
WT,STH1,P32597,normed_intensity,samplingTime:nutrientP,0.02280624082380906,0.026539028373043904,0.8593472414752648,0.40033226107274766,0.35272508488863846
WT,STI1,P15705,intensity,(Intercept),31.350613208435384,0.27030907222343187,115.98061785555468,9.171304537328778e-30,8.918118560246195e-29
WT,STI1,P15705,intensity,samplingTime,-0.0412396694709742,0.015658584124998,-2.633678060657956,0.0159213448854775,0.026686383487745817
WT,STI1,P15705,intensity,nutrientP,-0.07719242883288328,0.3822747559708658,-0.20192918215809763,0.8420118764278822,0.5369398353572451
WT,STI1,P15705,intensity,samplingTime:nutrientP,0.01797199929482701,0.02214458203713221,0.8115754573597921,0.4265891692614858,0.36825068877937606
WT,STI1,P15705,normed_intensity,(Intercept),30.792286374555207,0.07157004449065996,430.23986632527055,3.8162578519320384e-41,1.6044522373229168e-38
WT,STI1,P15705,normed_intensity,samplingTime,0.02778436514760458,0.004145941359898247,6.7015817966818725,1.6020065601534732e-6,5.731604133375454e-6
WT,STI1,P15705,normed_intensity,nutrientP,-0.04959237861479493,0.10121532757833712,-0.48996905707203453,0.6294873702914002,0.4643999026407888
WT,STI1,P15705,normed_intensity,samplingTime:nutrientP,0.00584494732564025,0.0058632464999716525,0.9968790030691203,0.33073227212016265,0.30964037226828456
WT,STI1,P15705,normed_ratio,(Intercept),0.13895215111782225,0.046319756254069186,2.9998463367478387,0.007078346682474586,0.013109769467213218
WT,STI1,P15705,normed_ratio,samplingTime,0.007879259028359918,0.002683231435733038,2.936481334942085,0.008160512533051946,0.014853696357139505
WT,STI1,P15705,normed_ratio,nutrientP,-0.04361711620089546,0.06550602750032063,-0.6658488976557457,0.5131149330968711,0.41337047773948843
WT,STI1,P15705,normed_ratio,samplingTime:nutrientP,-6.772630595641559e-4,0.003794662287399493,-0.178477821811197,0.8601432423246635,0.5415462949923643
WT,STI1,P15705,ratio,(Intercept),-0.0387910937651482,0.12620445192607413,-0.3073670791571646,0.7617416810090247,0.5128330498127323
WT,STI1,P15705,ratio,samplingTime,-0.032722881624667195,0.007310827606260384,-4.475947647383457,2.313826506572404e-4,6.223960219149293e-4
WT,STI1,P15705,ratio,nutrientP,0.043882231710393085,0.1784800475457173,0.2458663156684376,0.8082912792862077,0.5273147241142152
