Protein IDs,Gene names,genotype,nutrient,samplingTime,replicate,ratio,normalized_ratio,intensity,normalized_intensity
O43137,YBR085C-A,WT,C,T00,R3,0.99755,0.84921,151620001,33727037.16
O43137,YBR085C-A,WT,C,T06,R1,NaN,NaN,80967001,109709772.8
O43137,YBR085C-A,WT,C,T06,R2,NaN,NaN,177190001,168653733.1
O43137,YBR085C-A,WT,C,T06,R3,NaN,NaN,70700001,58476655.19
O43137,YBR085C-A,WT,C,T16,R1,NaN,NaN,17401001,37427914.61
O43137,YBR085C-A,WT,C,T16,R2,NaN,NaN,154060001,178704396.2
O43137,YBR085C-A,WT,C,T16,R3,NaN,NaN,24307001,31908687.12
O43137,YBR085C-A,WT,C,T30,R1,NaN,NaN,29205001,74672067.53
O43137,YBR085C-A,WT,C,T30,R2,0.7625,2.0136,86837001,120808218
O43137,YBR085C-A,WT,C,T30,R3,NaN,NaN,29438001,50827509.6
O43137,YBR085C-A,WT,P,T00,R1,1.1642,1.0484,80039001,28713781.42
O43137,YBR085C-A,WT,P,T00,R2,1.0341,1.0707,87272001,32393353.24
O43137,YBR085C-A,WT,P,T00,R3,0.99755,0.84921,151620001,33727037.16
O43137,YBR085C-A,WT,P,T06,R1,1.6889,2.0422,113070001,114434774.5
O43137,YBR085C-A,WT,P,T06,R2,1.032,2.1204,54672001,99015143.74
O43137,YBR085C-A,WT,P,T06,R3,1.7405,1.8225,115160001,117493879
O43137,YBR085C-A,WT,P,T16,R1,0.56577,0.96831,69571001,111118383.3
O43137,YBR085C-A,WT,P,T16,R2,0.61961,0.84992,122070001,90264737.26
O43137,YBR085C-A,WT,P,T16,R3,0.43499,0.69023,97611001,114035484.8
O43137,YBR085C-A,WT,P,T30,R1,0.69538,1.3318,82426001,165198769.4
O43137,YBR085C-A,WT,P,T30,R2,0.57075,1.1529,123410001,172324219.1
O43137,YBR085C-A,WT,P,T30,R3,0.64596,1.1268,118330001,229175023.5
O60200,MDM35,rim15KO,C,T00,R1,0.90091,1.0179,23107001,10529302.06
O60200,MDM35,rim15KO,C,T00,R2,0.88208,0.91881,44791001,16931973.91
O60200,MDM35,rim15KO,C,T00,R3,0.82626,0.90723,11914001,3642829.476
O60200,MDM35,rim15KO,C,T06,R1,NaN,NaN,5138901,5677484.962
O60200,MDM35,rim15KO,C,T06,R2,NaN,NaN,2508901,3278191.948
O60200,MDM35,rim15KO,C,T06,R3,0.51661,0.76257,16602001,14722898.49
O60200,MDM35,rim15KO,C,T16,R1,NaN,NaN,1,1.601642131
O60200,MDM35,rim15KO,C,T16,R2,NaN,NaN,1,2.143859624
O60200,MDM35,rim15KO,C,T16,R3,NaN,NaN,3585201,4672192.72
O60200,MDM35,rim15KO,C,T30,R1,NaN,NaN,1,1.742165102
O60200,MDM35,rim15KO,C,T30,R2,NaN,NaN,1,2.510370165
O60200,MDM35,rim15KO,C,T30,R3,NaN,NaN,2120701,4238975.876
O60200,MDM35,rim15KO,P,T00,R1,0.90091,1.0179,23107001,10529302.06
O60200,MDM35,rim15KO,P,T00,R2,0.99458,1.0271,44791001,16931973.91
O60200,MDM35,rim15KO,P,T00,R3,0.82626,0.90723,11914001,3642829.476
O60200,MDM35,rim15KO,P,T06,R1,0.85063,0.86375,21172001,17836672.93
O60200,MDM35,rim15KO,P,T06,R2,NaN,NaN,5848701,5324496.184
O60200,MDM35,rim15KO,P,T06,R3,NaN,NaN,1,1.110629568
O60200,MDM35,rim15KO,P,T16,R1,NaN,NaN,1,1.32951888
O60200,MDM35,rim15KO,P,T16,R2,NaN,NaN,4790301,3306480.51
O60200,MDM35,rim15KO,P,T16,R3,NaN,NaN,2425301,3256863.51
O60200,MDM35,rim15KO,P,T30,R1,NaN,NaN,2013601,2963088.849
O60200,MDM35,rim15KO,P,T30,R2,NaN,NaN,5833101,6791604.948
O60200,MDM35,rim15KO,P,T30,R3,NaN,NaN,1,2.345834103
O60200,MDM35,WT,C,T00,R1,0.85539,0.76359,24245001,8697830.439
O60200,MDM35,WT,C,T00,R2,0.99458,1.0271,38077001,14133304.26
O60200,MDM35,WT,C,T00,R3,0.81349,0.6968,11546001,2568344.56
O60200,MDM35,WT,C,T06,R1,NaN,NaN,2882701,3906041.57
O60200,MDM35,WT,C,T06,R2,NaN,NaN,4559301,4339653.082
O60200,MDM35,WT,C,T06,R3,0.64272,0.91038,20209001,16715060.35
O60200,MDM35,WT,C,T16,R1,NaN,NaN,1,2.150905836
O60200,MDM35,WT,C,T16,R2,NaN,NaN,1,1.159966215
O60200,MDM35,WT,C,T16,R3,NaN,NaN,2345801,3079418.566
O60200,MDM35,WT,C,T30,R1,NaN,NaN,1,2.556824687
O60200,MDM35,WT,C,T30,R2,NaN,NaN,1,1.391206704
O60200,MDM35,WT,C,T30,R3,NaN,NaN,1952101,3370488.109
