Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T16,0.106766941,0.292554631,-0.673195
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T30,0.066937696,0.236344874,-1.065191667
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T00,0.200001544,0.386131577,0.213175443
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T06,0.979945221,0.988093352,-0.005535537
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T16,0.010290018,0.097433612,0.323053114
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,P,T30,0.084891463,0.264569112,0.23226309
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T00,0.642333061,0.766327102,-0.026986667
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T06,0.009367285,0.093714028,-0.219825
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T16,0.063790811,0.230879836,-0.161805
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,C,T30,0.016291613,0.117930286,-0.33317
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T00,0.083088014,0.261672702,-0.080835424
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T06,0.146522943,0.330355317,-0.199735899
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T16,0.106037904,0.291759665,-0.100215771
P00330,Alcohol dehydrogenase 1,ADH1,sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5,P,T30,0.184349833,0.37017858,-0.102198391
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T00,0.816779021,0.887588661,-0.02875
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T06,0.541751032,0.690624599,0.05382
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T16,0.168737701,0.35367433,-0.151246667
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3,C,T30,0.056605783,0.215600063,-0.366588333
