orf,gene,ThisStudy_up,ThisStudy_down,Paulo_q_up,Paulo_log_up
YMR016C,NA,0,0,0,1
YMR045C,NA,0,0,0,1
YMR049C,ERB1,0,0,0,1
YMR058W,NA,0,0,0,1
YMR116C,ASC1,0,0,0,1
YMR128W,ECM16,0,0,0,1
YMR194W,NA,0,0,0,1
YMR212C,NA,0,0,0,1
YMR229C,RRP5,0,0,0,1
YMR230W,NA,0,0,0,1
YMR247C,NA,0,0,0,1
YMR259C,NA,0,0,0,1
YMR266W,NA,0,0,0,1
YMR272C,NA,0,0,0,1
YMR275C,NA,0,0,0,1
YNL002C,RLP7,0,0,0,1
YNL041C,NA,0,0,0,1
YNL074C,NA,0,0,0,1
YNL085W,MKT1,0,0,0,1
YNL087W,TCB2,0,0,0,1
YNL102W,POL1,0,0,0,1
YNL141W,AAH1,0,0,0,1
YNL175C,NOP13,0,0,0,1
YNL178W,RPS3,0,0,0,1
YNL182C,IPI3,0,0,0,1
YNL186W,NA,0,0,0,1
YNL191W,NA,0,0,0,1
YNL201C,NA,0,0,0,1
YNL207W,NA,0,0,0,1
YNL209W,SSB2,0,0,0,1
YNL224C,NA,0,0,0,1
YNL262W,NA,0,0,0,1
YNL284C-B,TY1B-NL1,0,0,0,1
YNL298W,NA,0,0,0,1
YNL302C,NA,0,0,0,1
YNL308C,KRI1,0,0,0,1
YNL313C,EMW1,0,0,0,1
YNR013C,NA,0,0,0,1
YNR053C,NOG2,0,0,0,1
YOL039W,RPP2A,0,0,0,1
YOL045W,NA,0,0,0,1
YOL056W,NA,0,0,0,1
YOL061W,PRS5,0,0,0,1
YOL070C,NA,0,0,0,1
YOL077C,NA,0,0,0,1
YOL121C,NA,0,0,0,1
YOR004W,NA,0,0,0,1
YOR048C,NA,0,0,0,1
YOR051C,ETT1,0,0,0,1
YOR056C,NA,0,0,0,1
YOR101W,NA,0,0,0,1
YOR116C,NA,0,0,0,1
YOR153W,PDR5,0,0,0,1
YOR171C,NA,0,0,0,1
YOR175C,NA,0,0,0,1
YOR195W,NA,0,0,0,1
YOR207C,NA,0,0,0,1
YOR224C,RPB8,0,0,0,1
YOR294W,NA,0,0,0,1
YOR303W,CPA1,0,0,0,1
YOR320C,NA,0,0,0,1
YOR340C,RPA43,0,0,0,1
YOR341W,RPA190,0,0,0,1
YPL019C,VTC3,0,0,0,1
YPL043W,NOP4,0,0,0,1
YPL053C,NA,0,0,0,1
YPL058C,NA,0,0,0,1
YPL061W,ALD6,0,0,0,1
YPL086C,NA,0,0,0,1
YPL093W,NOG1,0,0,0,1
YPL115C,NA,0,0,0,1
YPL137C,NA,0,0,0,1
YPL184C,MRN1,0,0,0,1
YPL207W,NA,0,0,0,1
YPL208W,NA,0,0,0,1
YPL217C,BMS1,0,0,0,1
YPL220W,NA,0,0,0,1
YPL226W,NEW1,0,0,0,1
YPL227C,NA,0,0,0,1
YPL231W,FAS2,0,0,0,1
YPL237W,SUI3,0,0,0,1
YPL245W,NA,0,0,0,1
YPL266W,NA,0,0,0,1
YPR010C,RPA135,0,0,0,1
YPR019W,NA,0,0,0,1
YPR035W,GLN1,0,0,0,1
YPR088C,NA,0,0,0,1
YPR097W,NA,0,0,0,1
YPR102C,NA,0,0,0,1
YPR112C,MRD1,0,0,0,1
YPR132W,NA,0,0,0,1
YPR159W,KRE6,0,0,0,1
YPR190C,NA,0,0,0,1
