Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|P15624|SYFB_YEAST,ProtoWT_H_vs_AuxoWT_H,0.71307,NA,NA
sp|P15625|SYFA_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15646|FBRL_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15705|STI1_YEAST,ProtoWT_H_vs_AuxoWT_H,6.9555,15.462,6.6828
sp|P15731|UBC4_YEAST;sp|P15732|UBC5_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15873|PCNA_YEAST,ProtoWT_H_vs_AuxoWT_H,27.824,NA,NA
sp|P15891|ABP1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P16120|THRC_YEAST,ProtoWT_H_vs_AuxoWT_H,0.75981,NA,0.63101
sp|P16140|VATB_YEAST,ProtoWT_H_vs_AuxoWT_H,7.9995,NA,11.215
sp|P16387|ODPA_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P16451|ODPX_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P16474|GRP78_YEAST,ProtoWT_H_vs_AuxoWT_H,1.1359,0.12344,NA
sp|P16521|EF3A_YEAST;sp|P53978|EF3B_YEAST,ProtoWT_H_vs_AuxoWT_H,2.4904,1.1956,3.0538
sp|P16550|APA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P16603|NCPR_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P16861|PFKA1_YEAST,ProtoWT_H_vs_AuxoWT_H,2.1432,0.29465,2.1432
sp|P16862|PFKA2_YEAST,ProtoWT_H_vs_AuxoWT_H,6.1564,NA,7.6833
sp|P17076|RL8A_YEAST,ProtoWT_H_vs_AuxoWT_H,6.8847,2.5699,6.8847
sp|P17106|CBF1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17157|PHO85_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17255|VATA_YEAST,ProtoWT_H_vs_AuxoWT_H,5.3587,2.9194,5.6596
sp|P17423|KHSE_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17505|MDHM_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17536|TPM1_YEAST,ProtoWT_H_vs_AuxoWT_H,0.65981,NA,NA
sp|P17555|CAP_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17695|GLRX2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17709|HXKG_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P17967|PDI_YEAST,ProtoWT_H_vs_AuxoWT_H,0.66169,0.66169,NA
sp|P18239|ADT2_YEAST;sp|P18238|ADT3_YEAST,ProtoWT_H_vs_AuxoWT_H,0.13584,0.11103,NA
sp|P18562|UPP_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P18899|DDR48_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P19097|FAS2_YEAST,ProtoWT_H_vs_AuxoWT_H,4.1248,0.17729,4.479
sp|P19146|ARF2_YEAST;sp|P11076|ARF1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P19262|ODO2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P19358|METK2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P19414|ACON_YEAST,ProtoWT_H_vs_AuxoWT_H,0.58575,NA,NA
sp|P19882|HSP60_YEAST,ProtoWT_H_vs_AuxoWT_H,2.1811,14.174,6.3561
sp|P20081|FKBP_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20434|RPAB1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20436|RPAB3_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20447|DBP3_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20449|DBP5_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20459|IF2A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P20606|SAR1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21147|ACO1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21242|PSA7_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21243|PSA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21304|PWP1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21306|ATP5E_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21576|VPS1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21827|RCC1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P21954|IDHP_YEAST,ProtoWT_H_vs_AuxoWT_H,0.049353,NA,0.20968
sp|P22137|CLH_YEAST,ProtoWT_H_vs_AuxoWT_H,0.091465,0.054951,NA
sp|P22146|GAS1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P22147|XRN1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P22203|VATE_YEAST,ProtoWT_H_vs_AuxoWT_H,13.492,16.237,NA
sp|P22217|TRX1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P22515|UBA1_YEAST,ProtoWT_H_vs_AuxoWT_H,1.1724,NA,NA
sp|P22768|ASSY_YEAST,ProtoWT_H_vs_AuxoWT_H,0.17397,0.17397,NA
sp|P22803|TRX2_YEAST,ProtoWT_H_vs_AuxoWT_H,4.25,NA,4.25
sp|P22943|HSP12_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P23201|SPA2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P23248|RS3A2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P23254|TKT1_YEAST,ProtoWT_H_vs_AuxoWT_H,4.4542,6.4115,1.7739
sp|P23301|IF5A1_YEAST,ProtoWT_H_vs_AuxoWT_H,0.39122,0.39122,0.52693
