Protein IDs,Gene names,comparison,condition,term,estimate,std.error,statistic,p.value,qvalue,df
Q02486,ABF2,genotype (per nutrient),P,samplingTime,-0.00376279284765919,0.00449393899875725,-0.8373039439787131,0.41231584200919114,0.49082598575839825,NA
Q02486,ABF2,genotype (per nutrient),C,samplingTime:genotypeWT,-0.01804453380246664,0.0135085299055642,-1.3357881226612265,0.1966213633877296,0.2908929649797788,NA
Q02486,ABF2,genotype (per nutrient),P,samplingTime:genotypeWT,0.00940947092920691,0.00635538948051987,1.480549847975205,0.1543086997732055,0.24043773336363455,NA
P15891,ABP1,genotype (per nutrient),C,genotypeWT,0.08782881655136399,0.03846200519741573,2.2835215194985525,0.03346976612752207,0.06709541233088322,NA
P15891,ABP1,genotype (per nutrient),P,genotypeWT,0.10394228703370316,0.0587071971971853,1.7705203449686513,0.09188264607125642,0.15715431333064403,NA
P15891,ABP1,genotype (per nutrient),C,samplingTime,-0.00140720762895426,0.00157546511924461,-0.8932013865397294,0.382371502099616,0.4686679023510772,NA
P15891,ABP1,genotype (per nutrient),P,samplingTime,-0.00153130523127548,0.002404740495407,-0.6367860624463382,0.5314859019263563,0.5655935610835859,NA
P15891,ABP1,genotype (per nutrient),C,samplingTime:genotypeWT,0.00116224525196889,0.00222804413868147,0.5216437285917946,0.6076475216614166,0.6001934448013508,NA
P15891,ABP1,genotype (per nutrient),P,samplingTime:genotypeWT,-0.00259434237001289,0.00340081662259238,-0.7628586477665673,0.45445211087633386,0.5200696675568491,NA
P31787,ACB1,genotype (per nutrient),C,genotypeWT,-0.09210410900852424,0.11937330925704114,-0.7715636735025971,0.44939370434241144,0.5164464405397208,NA
P31787,ACB1,genotype (per nutrient),P,genotypeWT,-0.1455205809279175,0.16368923132388388,-0.8890052189198875,0.3845684395264273,0.4703030301674146,NA
P31787,ACB1,genotype (per nutrient),C,samplingTime,-0.00316374395845174,0.00488972127006796,-0.6470192846815936,0.5249766234305515,0.5616002290409357,NA
P31787,ACB1,genotype (per nutrient),P,samplingTime,-0.03213985236580852,0.00670497216728754,-4.793435612248112,1.1067470140881486e-4,3.8660142648895015e-4,NA
P31787,ACB1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.00400302524231872,0.0069151101363543,-0.5788809091085793,0.5691323568225242,0.583824388438996,NA
P31787,ACB1,genotype (per nutrient),P,samplingTime:genotypeWT,0.00581867166349213,0.00948226257431217,0.6136374750109902,0.5463715465723149,0.5736442464172973,NA
Q00955,ACC1,genotype (per nutrient),C,genotypeWT,0.11048538241950588,0.09658135136604412,1.1439618607195232,0.266147106053153,0.3653717925633918,NA
Q00955,ACC1,genotype (per nutrient),P,genotypeWT,0.1132929996129783,0.15599662447060164,0.7262528916728511,0.4760980417954622,0.5333690181092281,NA
Q00955,ACC1,genotype (per nutrient),C,samplingTime,0.02054196359356464,0.00395612629829643,5.192443831333274,4.423009926173085e-5,1.6307139015793229e-4,NA
Q00955,ACC1,genotype (per nutrient),P,samplingTime,-0.03301267179438313,0.00638987071297692,-5.166406845656368,4.6939221671497414e-5,1.724020144655945e-4,NA
Q00955,ACC1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.01851526950948434,0.00559480746551167,-3.3093666982499133,0.00350030267658582,0.009031214885833,NA
Q00955,ACC1,genotype (per nutrient),P,samplingTime:genotypeWT,0.00585086406645803,0.0090366418241026,0.6474599945803494,0.5246972806039967,0.56143322343906,NA
P32316,ACH1,genotype (per nutrient),C,genotypeWT,-0.5904181028162925,0.7372131373589514,-0.800878433788431,0.4326137933914651,0.5055959103977651,NA
P32316,ACH1,genotype (per nutrient),P,genotypeWT,0.24870600019896685,0.24885642826937424,0.9993955226656048,0.32954203191231024,0.42515329334669005,NA
P32316,ACH1,genotype (per nutrient),C,samplingTime,0.11922001125768894,0.03019742671752206,3.948018894885223,7.944283737799945e-4,0.002364823019493,NA
P32316,ACH1,genotype (per nutrient),P,samplingTime,0.01377083425176419,0.01019355648323141,1.3509351985656295,0.19180297943094565,0.2853293142908663,NA
P32316,ACH1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.0475264076351798,0.04270561041268733,-1.1128844003377194,0.27895584050508077,0.37776930672879033,NA
P32316,ACH1,genotype (per nutrient),P,samplingTime:genotypeWT,0.004376292585609,0.01441586582740206,0.3035747306478416,0.7645874224532746,0.6474588504126008,NA
P19414,ACO1,genotype (per nutrient),C,genotypeWT,0.00251612595582307,0.2869816296697829,0.00876755058753506,0.9930914632230404,0.6760026984810059,NA
P19414,ACO1,genotype (per nutrient),P,genotypeWT,-0.1161927080740062,0.2410556205389192,-0.48201617458343615,0.6350272545807454,0.6104971159050959,NA
P19414,ACO1,genotype (per nutrient),C,samplingTime,0.06785022107218026,0.01175522558140301,5.771919951882553,1.1986987075599186e-5,4.7227048979557864e-5,NA
P19414,ACO1,genotype (per nutrient),P,samplingTime,0.01082563193141817,0.00987402294830039,1.0963750021749328,0.2859412277263053,0.3848476735738123,NA
P19414,ACO1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.05005870547286589,0.01662439944597529,-3.0111587269990028,0.00690030526618104,0.01670374744255354,NA
P19414,ACO1,genotype (per nutrient),P,samplingTime:genotypeWT,-0.00156525125640974,0.01396397716866959,-0.11209208075201092,0.9118677913068248,0.6715419106405628,NA
P39533,ACO2,genotype (per nutrient),C,genotypeWT,-0.29512876230319,0.1716728523300095,-1.7191347280457554,0.1010304654643004,0.17030185315034166,NA
P39533,ACO2,genotype (per nutrient),P,genotypeWT,-0.2079506574329487,0.10776784315147141,-1.9296169557802776,0.06796277380385962,0.1221313248683667,NA
P39533,ACO2,genotype (per nutrient),C,samplingTime,0.00772680889685549,0.00703199402576476,1.0988076594696998,0.2849040081256804,0.38373623148294334,NA
P39533,ACO2,genotype (per nutrient),P,samplingTime,0.00354195092482743,0.00441434285575873,0.8023733181954323,0.43176869139699026,0.5050738839375871,NA
P39533,ACO2,genotype (per nutrient),C,samplingTime:genotypeWT,0.00118591897033487,0.00994474132176311,0.11925086153217508,0.9062663204001296,0.6713004266763067,NA
P39533,ACO2,genotype (per nutrient),P,samplingTime:genotypeWT,-0.01194553627508897,0.00624282353557877,-1.9134829307619527,0.07010910053265339,0.12525094603397569,NA
P52910,ACS2,genotype (per nutrient),C,genotypeWT,-0.19547937963639284,0.1437859345511676,-1.3595167027052264,0.1891148962657853,0.28198145370500716,NA
P52910,ACS2,genotype (per nutrient),P,genotypeWT,-3.738398810777677e-4,0.08837177786712946,-0.00423030847744006,0.9966666239308823,0.6761043256556276,NA
P52910,ACS2,genotype (per nutrient),C,samplingTime,-0.02747176288716532,0.0058897013652989,-4.664372806577964,1.4926541146740907e-4,5.101876091163076e-4,NA
P52910,ACS2,genotype (per nutrient),P,samplingTime,-0.04485148972191027,0.00361984906508852,-12.390430903453543,7.705259683458797e-11,3.5360198428666767e-10,NA
