Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
Q03835,GRX3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q02784,GRX5,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P40989;Q04952,GSC2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q04697,GSF2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P32477,GSH1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q08220,GSH2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32836,GSP2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P27472,GSY2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40582,GTT1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38625,GUA1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15454,GUK1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P46655,GUS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32191,GUT2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40531,GVP36,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P47119,HAM1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32769,HBS1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53834,HCH1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q05775,HCR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P11353,HEM13,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P16622,HEM15,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P05373,HEM2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P28789,HEM3,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q04458,HFD1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P48362,HGH1,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P02309,HHF1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P61830,HHT1,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P00498,HIS1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00815,HIS4,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07172,HIS5,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P33734,HIS7,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40037,HMF1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q03973,HMO1,unassigned,No coherent co-expression pattern,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q04344,HNT1,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P32485;P41808,HOG1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P13663,HOM2,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P10869,HOM3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P31116,HOM6,blue,Downregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q04178,HPT1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q05905,HRI1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q99383,HRP1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15108,HSC82,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38910,HSP10,NA,NA,brown,Downregulated during carbon starvation (secondary cluster),NA,NA,NA,NA
P31539,HSP104,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q04432,HSP31,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19882,HSP60,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P33416,HSP78,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P02829,HSP82,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P04912;P04911,HTA2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P02294;P02293,HTB2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07263,HTS1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P04806,HXK1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P04807,HXK2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39004,HXT7,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P23301,HYP2,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P28834,IDH1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P28241,IDH2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P15496,IDI1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P21954,IDP1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P38286,IFA38,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53897,IGO1,blue,Downregulated during carbon starvation,NA,NA,unassigned,No coherent co-expression pattern,NA,NA
Q06706,IKI3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P09436,ILS1,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P00927,ILV1,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,NA,NA
P07342,ILV2,unassigned,No coherent co-expression pattern,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P39522,ILV3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P06168,ILV5,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P25605,ILV6,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P50095,IMD3,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P50094,IMD4,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q12271,INP53,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P00817,IPP1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40580,IRC24,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38250,IST2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38144,ISW1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40069,KAP123,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q06142,KAP95,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P16474,KAR2,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P35844,KES1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P20967,KGD1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19262,KGD2,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P27809,KRE2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53914,KRE33,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P42846,KRI1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25586,KRR1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15180,KRS1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P27810,KTR1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38130,KTR3,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q10740,LAP2,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q01532,LAP3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P12695,LAT1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25045,LCB1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40970,LCB2,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P07264,LEU1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P04173,LEU2,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P06208,LEU4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P33399,LHP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P36016,LHS1,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P47120,LIA1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P09624,LPD1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P43603,LSB3,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P53598,LSC1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P53312,LSC2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12230,LSP1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38998,LYS1,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P40495,LYS12,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P07702,LYS2,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q12122,LYS21,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P49367,LYS4,NA,NA,NA,NA,unassigned,No coherent co-expression pattern,NA,NA
P38999,LYS9,turquoise,Upregulated during carbon starvation,NA,NA,unassigned,No coherent co-expression pattern,NA,NA
P36013,MAE1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P20484,MAK11,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q01662,MAP1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38174,MAP2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
O14467,MBF1,blue,Downregulated during carbon starvation,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P21965,MCK1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),brown,Transiently upregulated early in phosphorus starvation
P36060,MCR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P17505,MDH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32419,MDH3,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q12019,MDN1,NA,NA,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation
Q12285,MDY2,unassigned,No coherent co-expression pattern,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P25039,MEF1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P00958,MES1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39692,MET10,unassigned,No coherent co-expression pattern,unassigned,No coherent co-expression pattern,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P53128,MET13,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P06106,MET17,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32179,MET22,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P05694,MET6,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q08645,MET7,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
Q99257,MEX67,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38523,MGE1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P32787,MGM101,turquoise,Upregulated during carbon starvation,unassigned,No coherent co-expression pattern,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P36046,MIA40,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P36112,MIC60,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P23641,MIR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P09440,MIS1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53141,MLC1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q02455,MLP1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P40185,MMF1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P38069,MNN2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12117,MRH1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
Q06489,MRI1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P35719,MRP8,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P33201,MRT4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q03104,MSC1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38694,MSC7,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P47018,MTC1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P47047,MTR4,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P32377,MVD1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40029,MXR1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19524,MYO2,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q04439,MYO5,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P32505,NAB2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38996,NAB3,NA,NA,turquoise,Upregulated during carbon starvation,unassigned,No coherent co-expression pattern,NA,NA
P30771,NAM7,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q02931,NAN1,blue,Downregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P25293,NAP1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P12945,NAT1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38205,NCL1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P16603,NCP1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40215,NDE1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
P32340,NDI1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P47035,NET1,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q08972,NEW1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25374,NFS1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P11633,NHP6B,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P34077,NIC96,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53081,NIF3,NA,NA,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,NA,NA
P32497,NIP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53920,NMA111,NA,NA,brown,Downregulated during carbon starvation (secondary cluster),turquoise,Downregulated during phosphorus starvation,NA,NA
P38861,NMD3,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14743,NMT1,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39744,NOC2,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P15646,NOP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q08208,NOP12,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P40991,NOP2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
Q12460,NOP56,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12499,NOP58,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q07623,NOP6,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53261,NOP7,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P06102,NOT3,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
Q01560,NPL3,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32832,NPL6,NA,NA,unassigned,No coherent co-expression pattern,NA,NA,NA,NA
P39683,NPT1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14907,NSP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P27476,NSR1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P33331,NTF2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32356,NTH1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40010,NUG1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q00402,NUM1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P36161,NUP133,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P40477,NUP159,unassigned,No coherent co-expression pattern,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P32499,NUP2,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P48837,NUP57,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38219,OLA1,unassigned,No coherent co-expression pattern,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P16547,OM45,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12451,OSH2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q02201,OSH6,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P41543,OST1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
Q03558,OYE2,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q12447,PAA1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P04147,PAB1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32521,PAN1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38787,PAN5,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
