Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
Q05911,ADE13,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P54113,ADE16,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P38009,ADE17,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P21264,ADE2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07245,ADE3,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P04046,ADE4,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07244,"ADE5,7",NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38972,ADE6,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00330,ADH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07246,ADH3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q04894,ADH6,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07170,ADK1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P47143,ADO1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12449,AHA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P38013,AHP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P23180,AIM17,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P36154,AIM29,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q12032,AIM41,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12480,AIM45,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P40053,AIM9,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P46680,AIP1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P40825,ALA1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P46367,ALD4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40047,ALD5,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P54115,ALD6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P54783,ALO1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P52893,ALT1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P15274,AMD1,turquoise,Upregulated during carbon starvation,NA,NA,unassigned,No coherent co-expression pattern,NA,NA
P22855,AMS1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P16550,APA1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14904,APE1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32454,APE2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P37302,APE3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38821,APE4,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P49435,APT1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38115,ARA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40024,ARB1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P46672,ARC1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40518,ARC15,unassigned,No coherent co-expression pattern,NA,NA,NA,NA,NA,NA
