orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YER091C,MET6,0.4253065250211536,NA,NA,detected_only
YPL091W,GLR1,0.4245554730052159,NA,NA,detected_only
YOL022C,TSR4,-0.42348198878722637,NA,NA,detected_only
YML008C,ERG6,-0.4231539221341296,NA,NA,detected_only
YDR214W,AHA1,0.42302344826975835,NA,NA,detected_only
YHR018C,ARG4,0.42252672812500813,NA,NA,detected_only
YBR056W,NA,0.42133607506183907,NA,NA,detected_only
YOR142W,LSC1,0.4206279209049747,NA,NA,detected_only
YIL033C,BCY1,0.4197129747377969,NA,NA,detected_only
YOL030W,GAS5,-0.4191820656420021,NA,NA,detected_only
YJR144W,MGM101,0.41579378734230643,NA,NA,detected_only
YPR154W,PIN3,-0.41540551739572784,NA,NA,detected_only
YDL052C,SLC1,-0.410371217946806,NA,NA,detected_only
YNL064C,YDJ1,-0.4093674888346152,NA,NA,detected_only
YDL097C,RPN6,0.4071602965968704,NA,NA,detected_only
YDL072C,YET3,0.4063101723385617,NA,NA,detected_only
YFR050C,PRE4,0.40588182522003735,NA,NA,detected_only
YFR049W,YMR31,0.40472873047738467,NA,NA,detected_only
YIL041W,GVP36,0.40252720080376536,NA,NA,detected_only
YER080W,AIM9,0.4007546254668865,NA,NA,detected_only
YNL255C,GIS2,-0.40051503916016473,NA,NA,detected_only
YPR052C,NHP6A,-0.39824568421058487,NA,NA,detected_only
YOR270C,VPH1,0.3977681700930066,NA,NA,detected_only
YGR234W,YHB1,-0.39733156638366013,NA,NA,detected_only
YMR029C,FAR8,0.39691140696694627,NA,NA,detected_only
YMR129W,POM152,0.3966031603744806,NA,NA,detected_only
YGR082W,TOM20,-0.39595975439438347,NA,NA,detected_only
YIL034C,CAP2,0.39566308836702163,NA,NA,detected_only
YCL030C,HIS4,0.39540873253798137,NA,NA,detected_only
YPL031C,PHO85,0.39523158486210114,NA,NA,detected_only
YPL126W,NAN1,-0.393339267729177,NA,NA,detected_only
YOR124C,UBP2,0.3920390848599557,NA,NA,detected_only
YDR060W,MAK21,-0.39193371997057047,NA,NA,detected_only
YLR418C,CDC73,0.38967168306948374,NA,NA,detected_only
YBR086C,IST2,0.38958035297536664,NA,NA,detected_only
YML070W,DAK1,0.38870916553715046,NA,NA,detected_only
YMR072W,ABF2,0.3886489457365311,NA,NA,detected_only
YDR294C,DPL1,0.38735760182960216,NA,NA,detected_only
YCR002C,CDC10,0.38628966162105827,NA,NA,detected_only
YHR072W,ERG7,-0.3844641808430756,NA,NA,detected_only
YLR330W,CHS5,0.3831946554997428,NA,NA,detected_only
YGR193C,PDX1,0.38222244115902226,NA,NA,detected_only
YKL065C,YET1,0.380883100487339,NA,NA,detected_only
YBL058W,SHP1,-0.3787585100660324,NA,NA,detected_only
YOR285W,RDL1,-0.3778660028117797,NA,NA,detected_only
YGL001C,ERG26,-0.37781003518961165,NA,NA,detected_only
YBR149W,ARA1,0.37754913458441175,NA,NA,detected_only
YOR259C,RPT4,0.3744314986778099,NA,NA,detected_only
YJL020C,BBC1,0.37384043193113725,NA,NA,detected_only
YPL063W,TIM50,0.3725039857141655,NA,NA,detected_only
YML072C,TCB3,0.37047287920675276,NA,NA,detected_only
YGL022W,STT3,-0.3701262657704548,NA,NA,detected_only
YBR252W,DUT1,-0.37000711610931947,NA,NA,detected_only
YMR243C,ZRC1,-0.3693553852925845,NA,NA,detected_only
YHR113W,APE4,0.3686408776429665,NA,NA,detected_only
YEL021W,URA3,0.3677369924958662,NA,NA,detected_only
YMR202W,ERG2,-0.36452434206531514,NA,NA,detected_only
YPR004C,AIM45,0.36394650597801337,NA,NA,detected_only
YJR065C,ARP3,0.3606255846366224,NA,NA,detected_only
YMR315W,NA,0.35945120065255576,NA,NA,detected_only
YBR115C,LYS2,0.3584548332432522,NA,NA,detected_only
YKL073W,LHS1,-0.35828044445026563,NA,NA,detected_only
YGL011C,SCL1,0.35809958749163073,NA,NA,detected_only
YGR207C,CIR1,0.35621212088335674,NA,NA,detected_only
YHR190W,ERG9,-0.35421082749219324,NA,NA,detected_only
YER178W,PDA1,0.3527998440045088,NA,NA,detected_only
YML130C,ERO1,-0.35083784626010606,NA,NA,detected_only
YNR050C,LYS9,0.34885194807644215,NA,NA,detected_only
YKL035W,UGP1,0.34849628013663353,NA,NA,detected_only
YOL038W,PRE6,0.348429246221174,NA,NA,detected_only
YDR354W,TRP4,0.3470036205586663,NA,NA,detected_only
YMR039C,SUB1,-0.34409483338436514,NA,NA,detected_only
YGR253C,PUP2,0.34335429732497524,NA,NA,detected_only
YNL135C,FPR1,-0.3422704914222122,NA,NA,detected_only
YLR244C,MAP1,-0.3422483445051989,NA,NA,detected_only
YLR354C,TAL1,0.339462190992253,NA,NA,detected_only
YFR004W,RPN11,0.3384660449700979,NA,NA,detected_only
YCL009C,ILV6,-0.33761264731600127,NA,NA,detected_only
YDL205C,HEM3,0.33739930181378874,NA,NA,detected_only
YJR104C,SOD1,0.3367027235419384,NA,NA,detected_only
YOR151C,RPB2,-0.33580357334886635,NA,NA,detected_only
YOR043W,WHI2,-0.3355414420741761,NA,NA,detected_only
YCR030C,SYP1,0.3335163988136672,NA,NA,detected_only
YNL007C,SIS1,0.32975515392962834,NA,NA,detected_only
YHR107C,CDC12,0.329540853057166,NA,NA,detected_only
YMR196W,NA,0.3291519058729412,NA,NA,detected_only
YBR035C,PDX3,-0.3264146151683509,NA,NA,detected_only
YMR080C,NAM7,-0.32467842113798384,NA,NA,detected_only
YDR510W,SMT3,-0.3239090666753543,NA,NA,detected_only
YHR158C,KEL1,0.322418342395241,NA,NA,detected_only
YOR272W,YTM1,-0.32086009342721744,NA,NA,detected_only
YLR043C,TRX1,-0.3204649811089544,NA,NA,detected_only
YPL190C,NAB3,-0.31489705434267445,NA,NA,detected_only
